Default Report
Last Modified: 2018-01-13 20:34:21 MST


QID3 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
,Total,100%,40

QID66 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,traditional,4.76%,2
2,christian,0.00%,0
3,illegal,4.76%,2
4,outdoor,2.38%,1
5,expensive,80.95%,34
6,busy,0.00%,0
7,gorgeous,4.76%,2
8,empty,2.38%,1
,Total,100%,42

QID68 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,stunning,24.39%,10
2,precious,17.07%,7
3,dry,14.63%,6
4,deadly,2.44%,1
5,wet,2.44%,1
6,dangerous,36.59%,15
7,illegal,2.44%,1
8,holy,0.00%,0
,Total,100%,41

QID70 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,poor,2.27%,1
2,young,25.00%,11
3,wild,18.18%,8
4,divine,31.82%,14
5,pretty,9.09%,4
6,weird,4.55%,2
7,attractive,2.27%,1
8,loud,6.82%,3
,Total,100%,44

QID72 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,shy,2.44%,1
2,gorgeous,9.76%,4
3,sleepy,21.95%,9
4,difficult,0.00%,0
5,dark,0.00%,0
6,innocent,60.98%,25
7,attractive,4.88%,2
8,busy,0.00%,0
,Total,100%,41

QID74 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,lost,4.44%,2
2,empty,0.00%,0
3,attractive,17.78%,8
4,outdoor,4.44%,2
5,traditional,20.00%,9
6,faithful,0.00%,0
7,excellent,6.67%,3
8,talented,46.67%,21
,Total,100%,45

QID76 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,sweet,2.33%,1
2,dumb,4.65%,2
3,talented,76.74%,33
4,violent,4.65%,2
5,bitter,0.00%,0
6,holy,0.00%,0
7,proud,11.63%,5
8,creepy,0.00%,0
,Total,100%,43

QID78 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,poor,9.76%,4
2,outdoor,7.32%,3
3,funny,4.88%,2
4,warm,0.00%,0
5,lazy,0.00%,0
6,traditional,73.17%,30
7,young,4.88%,2
8,fat,0.00%,0
,Total,100%,41

QID80 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,talented,8.11%,3
2,strong,40.54%,15
3,crazy,2.70%,1
4,hurt,2.70%,1
5,nasty,0.00%,0
6,violent,5.41%,2
7,illegal,21.62%,8
8,traditional,18.92%,7
,Total,100%,37

QID82 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,excited,2.50%,1
2,wet,40.00%,16
3,shy,0.00%,0
4,weak,2.50%,1
5,comfortable,5.00%,2
6,healthy,2.50%,1
7,outdoor,47.50%,19
8,tough,0.00%,0
,Total,100%,40

QID84 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,warm,17.95%,7
2,christian,0.00%,0
3,wet,12.82%,5
4,tough,12.82%,5
5,deadly,10.26%,4
6,strong,15.38%,6
7,comfortable,25.64%,10
8,nasty,5.13%,2
,Total,100%,39

QID86 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,outdoor,0.00%,0
2,wet,30.23%,13
3,excellent,11.63%,5
4,safe,9.30%,4
5,ugly,4.65%,2
6,illegal,4.65%,2
7,strong,4.65%,2
8,favorite,34.88%,15
,Total,100%,43

QID88 - Below are possible clues. You can only pick 1 clue to describe the top row.  Which clue would you provide to your team?
#,Answer,%,Count
1,extreme,2.33%,1
2,nasty,0.00%,0
3,hilarious,2.33%,1
4,clear,41.86%,18
5,outdoor,41.86%,18
6,fat,2.33%,1
7,young,2.33%,1
8,divine,6.98%,3
,Total,100%,43

mTurkCode
Answer,%,Count
10881898,1.47%,1
11217778,1.47%,1
11262928,1.47%,1
13692399,1.47%,1
14298276,1.47%,1
15755532,1.47%,1
15858502,1.47%,1
18810717,1.47%,1
19596700,1.47%,1
21679436,1.47%,1
22130566,1.47%,1
22441678,1.47%,1
23711964,1.47%,1
23718603,1.47%,1
24196377,1.47%,1
26100389,1.47%,1
26413834,1.47%,1
28726163,1.47%,1
29030462,1.47%,1
29929572,1.47%,1
32548190,1.47%,1
32958272,1.47%,1
33802545,1.47%,1
34229985,1.47%,1
35113390,1.47%,1
36771301,1.47%,1
37020575,1.47%,1
37488988,1.47%,1
41199214,1.47%,1
41377207,1.47%,1
43134833,1.47%,1
43600988,1.47%,1
44613459,1.47%,1
44914422,1.47%,1
45796567,1.47%,1
47707021,1.47%,1
50628159,1.47%,1
52439483,1.47%,1
56779511,1.47%,1
56910064,1.47%,1
57172836,1.47%,1
58705045,1.47%,1
59675628,1.47%,1
60658340,1.47%,1
63433967,1.47%,1
64734698,1.47%,1
65704881,1.47%,1
67922126,1.47%,1
71265314,1.47%,1
71541622,1.47%,1
76813779,1.47%,1
77644718,1.47%,1
78026820,1.47%,1
81575391,1.47%,1
82754721,1.47%,1
83848365,1.47%,1
84221691,1.47%,1
86253252,1.47%,1
88618326,1.47%,1
90065141,1.47%,1
91410590,1.47%,1
93476368,1.47%,1
95134630,1.47%,1
95525883,1.47%,1
97171716,1.47%,1
97479536,1.47%,1
97917131,1.47%,1
99694045,1.47%,1
Total,100%,68
