QID8,QID9,QID11,QID12,QID14,QID15,QID17,QID18,QID20,QID21,QID23,QID24,QID26,QID27,QID29,QID30,QID32,QID33,QID35,QID36,QID38,QID39,QID41,QID42,QID44,QID45,QID47,QID48,QID50,QID51,QID53,QID54,QID56,QID57,QID59,QID60,QID62,QID63,QID65,QID66,QID68,QID69,QID71,QID72,QID74,QID75,QID77,QID78,QID80,QID81,QID83,QID84,QID86,QID87,QID89,QID90,QID92,QID93,QID95,QID96,QID98,QID99,QID101,QID102,QID104,QID105,QID107,QID108,QID110,QID111,QID113,QID114,QID116,QID117,QID119,QID120,QID122,QID123,QID125,QID126,QID128,QID129,QID131,QID132,QID134,QID135,QID137,QID138,QID140,QID141,QID143,QID144,QID146,QID147,QID149,QID150,QID152,QID153,QID155,QID156,QID158,QID159,QID161,QID162,QID164,QID165,QID167,QID168,QID170,QID171,QID173,QID174,QID176,QID177,QID179,QID180,QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"chocolate,area",4,"country,road",2,"hands,legs","5 	 (Highly confident)","area,room","5 	 (Highly confident)","weight,performance",4,"hands,car",4,"performance,heart",4,"sky,night","5 	 (Highly confident)","text,road","5 	 (Highly confident)","text,family",4,"room,city",3,"friend,family",4,"beer,money","5 	 (Highly confident)","birthday,eyes","5 	 (Highly confident)","family,child",3,"heart,death",4,"wedding,performance",4,"evening,wedding",4,"family,birthday",3,"birthday,animal",2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"car,area","1 	 (Not confident)","country,road",4,"hands,legs",3,"area,room",3,"weight,performance",2,"hands,car",2,"performance,heart",4,"birthday,sky",2,"text,road",4,"family,performance","2,3","room,city","5 	 (Highly confident)",,,"business,money","3,4","hair,eyes","5 	 (Highly confident)","family,child",2,"heart,death",2,"history,performance","5 	 (Highly confident)","evening,night",4,"family,phone","5 	 (Highly confident)","birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hands,artist",3,"chocolate,area",3,"chocolate,road",3,"hands,birthday",3,"room,legs",3,,,"hands,car",3,"heart,beer",3,"birthday,sky",3,"road,apple",3,"text,family",4,"training,city",3,"friend,family",2,"business,beer",3,"birthday,hair",3,"family,child",3,"heart,chocolate",3,"history,performance",3,"wedding,night",2,"phone,birthday",2,"god,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"car,area",3,"country,road",4,"hands,legs",3,"area,room",3,"weight,performance",3,"car,apple",3,"performance,heart",4,"birthday,sky",2,"text,road",4,"text,family",2,"room,city","5 	 (Highly confident)","friend,family",4,"business,money",2,"hair,eyes",3,"family,child",3,"heart,death",4,"history,performance",3,"evening,night","3,4",,,"birthday,animal",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"car,area",2,"country,road","5 	 (Highly confident)","hands,legs","1 	 (Not confident)","area,room","1 	 (Not confident)","weight,performance",3,"hands,car","5 	 (Highly confident)",,,"birthday,night",3,"text,apple",4,"text,performance",3,"room,city","5 	 (Highly confident)","phone,friend",4,"business,money","1 	 (Not confident)","hair,eyes","5 	 (Highly confident)","family,child",2,"heart,death","5 	 (Highly confident)","history,performance","5 	 (Highly confident)","evening,night",2,"family,phone",4,"birthday,animal","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",3,"car,area",4,,,"hands,legs",3,"area,room",3,"weight,performance",4,"car,apple",4,"performance,heart","5 	 (Highly confident)","sky,night",4,"text,road",3,"family,performance",4,"room,city","3,4","friend,family",4,"business,money",4,"hair,eyes","5 	 (Highly confident)","family,child",4,"heart,death","5 	 (Highly confident)","history,performance","5 	 (Highly confident)","evening,night",3,"phone,birthday",4,"birthday,animal",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heart,hands",4,"car,area",4,"country,road",2,"hands,legs",4,"area,room",4,"weight,performance",4,"hands,car",3,"performance,beer",4,"birthday,sky",2,"text,road","5 	 (Highly confident)","family,performance",4,"room,city",3,"friend,family",4,"beer,money",3,"hair,eyes",3,"family,child","5 	 (Highly confident)",,,"history,performance",4,"evening,night",4,"family,phone",2,"god,animal",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands",4,"car,chocolate",2,"country,chocolate",3,"hands,legs",4,"area,room",3,"weight,performance",3,"car,apple",3,"performance,beer",3,"sky,night",4,"text,road",3,"text,performance",3,"training,city",3,"friend,family",4,"business,beer",3,"hair,eyes",3,"god,child",2,"heart,death",3,"history,performance",4,"evening,night",3,,,"birthday,god",2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands","5 	 (Highly confident)","car,chocolate",3,"country,road",3,"hands,legs",4,"area,room","5 	 (Highly confident)","weight,performance",4,"hands,car",2,"heart,beer",4,"sky,night","5 	 (Highly confident)","text,road",3,"text,family",4,"room,training",2,"friend,family",4,"business,money",4,"hair,eyes",4,"god,family",4,"chocolate,death",3,"history,performance",3,"wedding,night",3,"family,birthday",3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"heart,hands","5 	 (Highly confident)","car,chocolate",3,"country,chocolate","5 	 (Highly confident)","hands,legs","5 	 (Highly confident)","area,room",4,"weight,performance",4,"hands,car",4,"performance,beer",3,"sky,night","5 	 (Highly confident)","text,apple",4,"text,performance","5 	 (Highly confident)","room,training",3,,,"business,beer",4,"birthday,eyes","5 	 (Highly confident)","family,child",3,"chocolate,death",4,"wedding,performance",3,"wedding,night",3,"family,birthday",4,"god,animal",3
