QID3,QID5,QID7,QID9,QID11,QID13,QID15,QID17,QID19,QID21,QID23,QID25,QID27,QID29,QID31,QID33,QID35,QID37,QID39,QID41,QID50,QID52,QID54,QID56,QID58,QID60,QID62,QID64,QID66,QID68,QID70,QID72,QID74,QID76,QID78,QID80,QID82,QID84,QID86,QID88
healthy,,deadly,clever,,,dirty,,cold,favorite,,,wild,,comfortable,,,outdoor,,,,attractive,clear,clear,dry,,violent,traditional,,dangerous,,innocent,talented,,traditional,,wet,,,
gorgeous,,,,dangerous,,,dirty,cold,stupid,,,,faithful,smooth,comfortable,little,outdoor,,outdoor,innocent,,,,,funny,,,,dangerous,young,,talented,talented,traditional,traditional,,,illegal,
gorgeous,,,,,pretty,,clean,,stupid,pretty,fresh,,,smooth,,heavy,dangerous,outdoor,,,,clear,clear,,,violent,warm,,dangerous,,innocent,talented,,,strong,,strong,,clear
,dirty,,,lost,shy,,safe,,,lost,fresh,,faithful,,ancient,heavy,,lovely,proud,dangerous,,,,,crazy,,,expensive,,loud,,,violent,,illegal,,deadly,wet,outdoor
gorgeous,,inspirational,outdoor,,,lost,,cold,favorite,,,wild,,comfortable,,,outdoor,,,,hurt,clear,clear,dangerous,,confused,traditional,,dangerous,,innocent,attractive,,traditional,,wet,,,
,fancy,illegal,outdoor,dangerous,,ancient,,cold,,,,lonely,faithful,,proud,,,,proud,faithful,attractive,,,safe,funny,,,expensive,,young,,,proud,traditional,,wet,,favorite,
,,,heavy,faithful,,ancient,clear,cold,proud,,,clean,strange,,,fat,,beautiful,,,,,quiet,,,bitter,dumb,,,loud,sleepy,,talented,,hurt,,,wet,extreme
gorgeous,,,outdoor,,safe,dirty,,,,,,stunning,,comfortable,,,dangerous,beautiful,,,attractive,,clear,dangerous,crazy,,,expensive,,divine,innocent,talented,talented,traditional,strong,,strong,,
,innocent,attractive,,lost,comfortable,,,lazy,stupid,pretty,comfortable,,,,proud,wicked,,outdoor,tired,gorgeous,,clear,,,,violent,traditional,,stunning,,,attractive,,,,,,favorite,outdoor
,,warm,inspirational,,pretty,lost,,,peaceful,,,wild,strange,comfortable,ancient,hilarious,clear,beautiful,,,,,,,,empty,,,dry,divine,,traditional,dumb,traditional,,outdoor,comfortable,,
gorgeous,dirty,,,,,,dirty,cold,,pretty,,,,,inspirational,,,,excited,innocent,attractive,empty,comfortable,,crazy,confused,clear,,dry,,,traditional,talented,traditional,,outdoor,,safe,
stunning,bright,,heavy,dangerous,pretty,,,lazy,,,fresh,,dumb,violent,,wicked,,beautiful,,faithful,attractive,,,dry,,,,expensive,,wild,attractive,traditional,,traditional,,,deadly,,
,,warm,,dangerous,,bright,,,,,fresh,fancy,faithful,,comfortable,,dangerous,beautiful,outdoor,,,clear,,safe,funny,,traditional,,,divine,innocent,attractive,,,,outdoor,comfortable,excellent,
,,attractive,,lost,shy,lost,safe,,proud,pretty,smooth,wild,strange,,,heavy,outdoor,beautiful,,,,,,safe,,,,gorgeous,,,shy,,,,strong,outdoor,strong,,outdoor
gorgeous,fancy,,,,,,clean,lazy,,pretty,,stunning,,,proud,,outdoor,beautiful,outdoor,,,clear,clear,dangerous,,,bright,,dangerous,,innocent,talented,talented,,strong,wet,,,
stunning,,attractive,clever,,,lost,,,comfortable,,comfortable,,faithful,violent,,heavy,,,,innocent,traditional,,,cold,,violent,traditional,expensive,,pretty,,,,traditional,,,tough,favorite,outdoor
,,,,,dangerous,,,,lonely,smooth,comfortable,clean,faithful,comfortable,,sad,wicked,,,dangerous,attractive,clear,clear,,funny,,,expensive,dry,pretty,attractive,outdoor,,,,,,,hilarious
,healthy,,clever,dangerous,,,dirty,cold,,pretty,fresh,,,smooth,,,,,proud,innocent,attractive,clear,inspirational,,funny,,,expensive,,young,sleepy,,,,traditional,,,excellent,outdoor
,dirty,,,dangerous,pretty,,dirty,,favorite,,comfortable,,,smooth,,,,beautiful,,faithful,hurt,clear,,,,,,,dangerous,wild,innocent,,talented,,strong,outdoor,strong,favorite,outdoor
gorgeous,,,heavy,dangerous,shy,,clean,cold,peaceful,dark,,,,comfortable,,heavy,,,,dangerous,empty,,clear,,funny,violent,,expensive,,,,,proud,outdoor,strong,,,,clear
gorgeous,dirty,deadly,clever,,,lost,dirty,,,pretty,,wild,smooth,,,heavy,dangerous,beautiful,talented,,,,clear,dangerous,funny,bitter,traditional,expensive,,,,,,traditional,,,,,
,,inspirational,,dangerous,comfortable,ancient,,excited,,pretty,comfortable,,,,proud,little,,excellent,proud,,traditional,clear,,,,,traditional,expensive,,,,attractive,talented,,talented,,warm,,fat
gorgeous,fancy,,clever,,,,dirty,,comfortable,,,wild,strange,smooth,inspirational,,rough,,,dangerous,,,healthy,,funny,,,,dangerous,weird,sleepy,talented,,traditional,,outdoor,,favorite,
,,,outdoor,,,lost,,cold,favorite,,,outdoor,faithful,comfortable,,heavy,outdoor,,proud,,hurt,,clear,dangerous,funny,empty,bright,,dry,,,,,,strong,wet,,wet,
gorgeous,,,,,pretty,ancient,safe,,,pretty,,stunning,,smooth,,heavy,,beautiful,,,attractive,golden,,safe,,empty,,traditional,precious,divine,,,talented,traditional,,,warm,excellent,
,fancy,deadly,,dangerous,,,clean,cold,,pretty,fresh,,,,comfortable,,,beautiful,,innocent,,clear,,dangerous,,violent,,expensive,,,innocent,traditional,talented,traditional,,,comfortable,,clear
gorgeous,bright,creepy,outdoor,lost,comfortable,,,cold,favorite,,comfortable,,strange,,inspirational,,outdoor,,proud,innocent,,,,,,,traditional,,,,innocent,talented,,,talented,wet,,,clear
,innocent,warm,,,,ancient,,cold,comfortable,,comfortable,,faithful,,comfortable,,outdoor,,outdoor,innocent,traditional,,inspirational,,clear,,,,stunning,young,sleepy,talented,,traditional,,,,,outdoor
gorgeous,,,ugly,lost,dangerous,,,,,dark,,wild,,extreme,,little,,outdoor,,,,clear,clear,dangerous,funny,empty,,expensive,,young,,,talented,,,outdoor,comfortable,favorite,
,,deadly,gorgeous,,,dirty,,,,pretty,,stunning,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dirty,warm,inspirational,,comfortable,extreme,,,,smooth,smooth,stunning,,,,,,lovely,,,traditional,cute,inspirational,bad,,divine,inspirational,gorgeous,,,,,,,,weak,warm,,divine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,innocent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive,,,,outdoor,,,
gorgeous,,,inspirational,lost,,,,,peaceful,safe,,,faithful,comfortable,proud,,,outdoor,proud,faithful,hurt,clear,clear,safe,funny,bitter,,,,divine,innocent,,,,,,,,clear
,warm,,,,safe,lost,,cold,,pretty,fresh,,,comfortable,comfortable,,deadly,,proud,,,holy,,dangerous,,,,,,young,innocent,talented,talented,traditional,strong,,wet,favorite,
gorgeous,,,,,,,,,,excellent,crazy,,evil,comfortable,ancient,dry,deadly,outdoor,,faithful,funny,,,,bitter,,,,,divine,gorgeous,lost,,,crazy,healthy,warm,safe,young
gorgeous,dirty,,,lost,comfortable,lost,safe,,favorite,,comfortable,,strange,,proud,,,beautiful,outdoor,innocent,sleepy,clear,clear,dangerous,lazy,,,,,,,lost,talented,,,,,,
,,,,,,bright,dirty,,,,comfortable,stunning,,violent,inspirational,heavy,outdoor,,,,,empty,,,,violent,bright,expensive,dangerous,young,innocent,talented,talented,traditional,,,tough,,clear
,,,inspirational,,pretty,,,excited,,pretty,,stunning,,,,hilarious,outdoor,,,,,,divine,,,violent,inspirational,outdoor,dangerous,young,innocent,,,traditional,strong,wet,tough,ugly,outdoor
fancy,,inspirational,faithful,dangerous,,,dirty,,,,,stunning,,,,heavy,dangerous,beautiful,,gorgeous,sleepy,,clear,,bitter,violent,traditional,expensive,stunning,,,,,,,wet,tough,,divine
gorgeous,dirty,,,dangerous,pretty,,dirty,,favorite,,,,faithful,comfortable,comfortable,heavy,,outdoor,,,,,divine,,,,traditional,expensive,,divine,,,talented,,strong,wet,,favorite,clear
,,inspirational,,lost,safe,,,excited,lonely,traditional,,,strange,,,,outdoor,,excited,faithful,,holy,,dry,crazy,confused,clear,,precious,,,talented,talented,,,,,favorite,outdoor
,,warm,outdoor,,,lost,,cold,,,fresh,stunning,,,,,outdoor,,outdoor,dangerous,hurt,clear,,safe,funny,violent,bright,,dangerous,,innocent,talented,,traditional,,,comfortable,,
fancy,bright,,gorgeous,lost,,,clean,cold,peaceful,,,,smooth,,,little,,beautiful,excited,gorgeous,,,warm,safe,funny,,,,,pretty,,,talented,,strong,comfortable,,strong,
gorgeous,dirty,,gorgeous,,,lost,dirty,,,,fresh,tired,,smooth,,,,beautiful,,faithful,empty,,clear,,,,,expensive,,divine,innocent,,,traditional,illegal,outdoor,comfortable,favorite,
stunning,healthy,inspirational,outdoor,lost,pretty,,,cold,,,comfortable,tired,strange,difficult,,little,,,proud,gorgeous,,,clear,,funny,,,,,,sleepy,talented,,,strong,outdoor,,,
,,deadly,,,pretty,ancient,,cold,,pretty,comfortable,,,difficult,,little,deadly,,,,attractive,clear,,,,,traditional,expensive,stunning,,,traditional,,young,,wet,deadly,favorite,clear
stunning,,inspirational,outdoor,,,dirty,,cold,favorite,,comfortable,,,,,,,,outdoor,,attractive,,inspirational,,,violent,warm,expensive,dangerous,young,,talented,talented,outdoor,traditional,,warm,,
,healthy,deadly,,,safe,dirty,clean,,peaceful,dark,comfortable,clean,,,shy,,rough,,,,,,,,,bitter,traditional,expensive,precious,,,talented,sweet,traditional,traditional,,warm,,
excited,bright,,faithful,dangerous,,,dirty,,favorite,smooth,,wild,difficult,,,,,beautiful,proud,dangerous,attractive,,warm,dangerous,lazy,,,,,wild,innocent,,talented,,,,,wet,
,dirty,inspirational,,,,dirty,,,,,comfortable,,faithful,smooth,inspirational,little,,beautiful,proud,dangerous,,clear,,,crazy,bitter,,expensive,,wild,,talented,,traditional,,wet,,,outdoor
,,deadly,,dangerous,,,,lazy,comfortable,pretty,,,faithful,smooth,proud,heavy,outdoor,,,,,clear,,safe,,confused,traditional,,stunning,,innocent,traditional,talented,,,,,favorite,clear
healthy,,illegal,,dangerous,safe,dirty,,cold,favorite,pretty,,wild,,,,,,beautiful,,dangerous,attractive,clear,,safe,,empty,bright,,,loud,,,talented,,,,comfortable,wet,
gorgeous,,warm,outdoor,dangerous,shy,,clean,cold,favorite,dark,,wild,,comfortable,,,,,,faithful,attractive,,clear,cold,,,,,dangerous,,innocent,,talented,,traditional,,,wet,
,dirty,,,,,,dirty,,stupid,smooth,,,faithful,,ancient,,outdoor,beautiful,,,hurt,,clear,dangerous,lazy,traditional,,expensive,precious,,sleepy,,,traditional,violent,outdoor,,wet,
,innocent,warm,heavy,dangerous,pretty,,,cold,favorite,,,outdoor,,,holy,heavy,,,proud,,,clear,clear,dangerous,,,traditional,expensive,dangerous,wild,,,talented,traditional,,,,,
,,,heavy,wet,comfortable,,safe,cold,,pretty,comfortable,,faithful,smooth,,heavy,outdoor,,,,attractive,,clear,,,,,,precious,divine,sleepy,,,young,strong,,,favorite,clear
gorgeous,fancy,inspirational,faithful,lost,,dirty,,,favorite,dark,,,strange,,,,outdoor,beautiful,outdoor,,,clear,,,lazy,,inspirational,expensive,precious,divine,innocent,,,,,wet,,,
,,deadly,,,shy,ancient,,cold,,,fresh,,faithful,smooth,holy,heavy,dangerous,,,,,empty,,,,,dumb,expensive,deadly,,,traditional,,poor,illegal,outdoor,deadly,,clear
,healthy,,,lost,,,dirty,,,dark,,fancy,faithful,smooth,,heavy,rough,,excited,,angry,,clear,,,violent,,,stunning,,,,talented,poor,illegal,wet,strong,,clear
,dirty,inspirational,dying,,,lost,,cold,favorite,,,wild,,,,heavy,clear,,excited,faithful,,clear,,dry,funny,,,expensive,,young,,talented,talented,,,,wet,,outdoor
gorgeous,,attractive,,,smooth,,clean,cold,,dark,comfortable,wild,,,proud,heavy,,,,dangerous,attractive,,clear,safe,,violent,,,,,,excellent,proud,traditional,,,,wet,clear
,bright,,,lost,comfortable,excited,safe,cold,,,,wild,,violent,,wicked,outdoor,,proud,,,clear,,safe,,divine,inspirational,,,,innocent,,,,,outdoor,comfortable,wet,clear
,,,,,,dirty,dirty,,,pretty,fresh,wild,faithful,,comfortable,hilarious,dangerous,beautiful,,gorgeous,,clear,,dangerous,funny,bitter,,expensive,,,innocent,,talented,,talented,,,,outdoor
healthy,dirty,deadly,,cold,,ancient,dirty,,favorite,,,wild,,,holy,,outdoor,,,,hurt,,clear,safe,funny,bitter,,expensive,stunning,,,talented,,,,,,wet,outdoor
,smooth,,faithful,faithful,dangerous,,clean,,favorite,,,,smooth,extreme,proud,,,lovely,,bright,sleepy,,healthy,,funny,,,,illegal,attractive,,outdoor,,traditional,,excited,,strong,
,,,heavy,,shy,,,excited,,,comfortable,,violent,,,heavy,,lovely,proud,dangerous,,clear,,safe,,,traditional,,,young,innocent,talented,talented,traditional,,wet,nasty,favorite,
,dirty,,gorgeous,,divine,,safe,,,pretty,,wild,faithful,smooth,weird,,dangerous,outdoor,weird,,hurt,,,,,,,,precious,wild,sleepy,excellent,,,traditional,outdoor,,favorite,
excited,,,,dangerous,,,,cold,favorite,safe,comfortable,,,comfortable,,little,,,,faithful,,rich,clear,dry,funny,divine,warm,illegal,,,,,,poor,,,wet,,clear
,,deadly,,,violent,ancient,clean,cold,,lost,fresh,wild,,bitter,weird,,,,weird,,,clear,clear,,bitter,,,illegal,wet,,,,violent,outdoor,,outdoor,,,divine
excited,bright,deadly,inspirational,lost,,ancient,,,,,,,faithful,,,heavy,outdoor,beautiful,,,traditional,,,dry,,bitter,warm,,,,gorgeous,talented,talented,,illegal,,comfortable,wet,
,dirty,deadly,,,shy,,,cold,lonely,pretty,comfortable,lonely,,,,heavy,dangerous,beautiful,,dangerous,attractive,,clear,safe,,,bright,expensive,stunning,divine,,,,traditional,,,,,
gorgeous,innocent,,,,safe,bright,clean,,stupid,,,lonely,,,comfortable,,outdoor,beautiful,,innocent,,,clear,dangerous,,confused,inspirational,traditional,dangerous,divine,,,talented,,,,,,outdoor
,,,faithful,,,ancient,clean,cold,comfortable,,comfortable,,dumb,violent,,heavy,,,,,attractive,clear,clear,safe,funny,,bright,,,,gorgeous,,talented,,traditional,outdoor,tough,,
gorgeous,smooth,,,lost,comfortable,,,,,pretty,,wild,,,inspirational,little,dangerous,outdoor,excited,innocent,,,,,funny,violent,,expensive,stunning,wild,,traditional,,traditional,,,,excellent,
,,warm,,dangerous,,,dirty,,,pretty,fresh,wild,,,,,,,,dangerous,attractive,clear,clear,,funny,violent,bright,,dry,,,,,poor,illegal,wet,comfortable,safe,clear
gorgeous,innocent,,outdoor,,safe,pretty,,cold,,,,,,smooth,comfortable,little,outdoor,outdoor,outdoor,,,,,safe,,,,expensive,,divine,sleepy,attractive,talented,,,wet,,,outdoor
gorgeous,,inspirational,,lost,,,,cold,peaceful,,,stunning,faithful,smooth,proud,little,,outdoor,,,traditional,clear,,dry,lazy,,,,,,,attractive,proud,traditional,,,,ugly,outdoor
,,,,,,,,,,,,,,,,,,,,,,,,,,proud,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,attractive,,,,,,,
,,,outdoor,,,,,,,,comfortable,,,,,,,,,,,,,,,,,,,,,,,,,wet,deadly,,
,,,,,,,,,smooth,,,,,,,,,,,faithful,,,,,,,,,,,,,,,,,,,
