QID182,QID183,QID185,QID186,QID188,QID189,QID191,QID192,QID194,QID195,QID197,QID198,QID200,QID201,QID203,QID204,QID206,QID207,QID179,QID180,QID176,QID177,QID173,QID174,QID170,QID171,QID167,QID168,QID164,QID165,QID161,QID162,QID158,QID159,QID155,QID156,QID152,QID153,QID149,QID150,QID146,QID147,QID143,QID144,QID140,QID141,QID137,QID138,QID134,QID135,QID131,QID132,QID128,QID129,QID125,QID126,QID122,QID123,QID119,QID120,QID116,QID117,QID113,QID114,QID110,QID111,QID107,QID108,QID104,QID105,QID101,QID102,QID98,QID99,QID95,QID96,QID92,QID93,QID89,QID90,QID86,QID87,QID83,QID84,QID80,QID81,QID77,QID78,QID74,QID75,QID71,QID72,QID68,QID69,QID65,QID66,QID62,QID63,QID59,QID60,QID56,QID57,QID53,QID54,QID50,QID51,QID47,QID48,QID44,QID45,QID41,QID42,QID38,QID39,QID35,QID36,QID32,QID33,QID29,QID30,QID26,QID27,QID23,QID24,QID20,QID21,QID17,QID18,QID14,QID15,QID11,QID12,QID8,QID9
,,"gift,artist",4,,,,,,,,,,,,,,,"performance,beer",3,"wedding,hair",4,"wedding,hair",4,,,,,,,"wedding,dog",4,,,"country,hair",4,,,,,"dog,morning",4,,,,,,,,,,,"morning,god",3,,,,,,,,,,,,,,,,,"phone,dog",4,,,,,,,,,"artist,girl",3,"hair,country",4,,,,,,,,,,,"lady,girl",4,,,,,"heart,beer",3,"hair,lady",4,,,,,"beauty,chocolate",2,,,"performance,god",4,"beer,god",4,"dog,country",3,"feelings,performance",2,,,,,,,"business,feelings",2,,,,,,
"phone,artist",3,,,,,,,"artist,city",4,"birthday,ocean","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,,,"performance,girl",4,,,"dog,morning",4,,,,,,,,,"child,beauty",4,,,,,"feelings,relationship",3,"feelings,relationship","5 	 (Highly confident)",,,"food,beauty",4,,,,,"phone,artist",3,,,,,"birthday,weight","5 	 (Highly confident)",,,,,,,"hair,country","5 	 (Highly confident)",,,"wedding,girl","5 	 (Highly confident)",,,,,"dog,lady","5 	 (Highly confident)",,,,,,,"heart,beer","5 	 (Highly confident)",,,"god,country","5 	 (Highly confident)","lady,money",4,,,,,,,,,,,,,,,"lady,beer","5 	 (Highly confident)","hair,lady","5 	 (Highly confident)",,,,,"lady,birthday",4,,
,,,,,,"legs,artist",3,,,,,"birthday,death",4,,,,,,,,,,,"money,phone",4,"hair,country",3,"wedding,dog",3,,,"dog,country",3,,,,,,,,,"area,hair",2,,,"beer,wedding",3,,,,,,,,,,,,,"food,beauty",4,,,"dog,lady",3,"dog,lady","5 	 (Highly confident)",,,,,"dog,feelings",4,,,"night,dog",4,"artist,girl",3,,,,,"wedding,girl","5 	 (Highly confident)",,,"training,dog",3,,,,,,,,,,,,,,,,,,,"beauty,performance",3,,,"performance,god","5 	 (Highly confident)",,,"dog,country",4,,,,,,,,,,,"beauty,lady","5 	 (Highly confident)",,,,
,,"gift,artist",2,"birthday,performance",4,,,,,,,,,,,,,,,,,,,,,,,,,"wedding,dog","5 	 (Highly confident)","dog,country",2,,,"performance,girl",4,,,,,,,"morning,girl",4,"beer,wedding",4,"chocolate,business",4,,,,,"girl,morning",3,"feelings,relationship",4,,,,,"food,beauty",2,,,"dog,lady","5 	 (Highly confident)","phone,artist",3,"dog,feelings",2,,,,,,,,,,,"hair,relationship","5 	 (Highly confident)",,,,,,,,,,,,,"lady,girl","5 	 (Highly confident)",,,"heart,beer",2,,,,,,,,,,,,,,,"dog,country",4,"feelings,performance","1 	 (Not confident)",,,,,,,"business,feelings",4,,,,,,
"phone,artist",3,"gift,artist",4,,,"legs,artist",4,"legs,artist",4,,,"birthday,death",3,,,,,,,"wedding,hair","5 	 (Highly confident)",,,"dog,phone",4,,,,,,,,,,,"performance,girl","5 	 (Highly confident)","performance,girl",4,,,,,,,"beer,wedding",4,,,"child,beauty",3,,,,,,,,,,,,,"dog,lady",4,,,,,,,,,,,,,,,,,"hair,country","5 	 (Highly confident)",,,,,,,"dog,lady",4,,,"lady,girl","5 	 (Highly confident)","lady,girl","5 	 (Highly confident)",,,,,,,,,,,,,"lady,birthday",4,,,"beer,god",3,"dog,country",3,,,,,,,,,,,,,"lady,birthday",4,,
,,,,"birthday,performance",3,"artist,city","2,3","legs,artist",2,,,,,,,,,,,"country,wedding",2,,,,,,,"wedding,dog",3,,,"dog,ocean",2,,,,,,,,,,,,,,,,,,,,,"girl,morning",2,,,"feelings,relationship",3,"food,beauty",2,,,,,"dog,lady",3,,,"dog,feelings",4,"dog,feelings",2,"birthday,area","1 	 (Not confident)",,,,,,,,,"wedding,girl",4,"wedding,girl",3,,,,,,,,,,,"beauty,chocolate",3,,,"hair,lady",4,,,,,,,,,,,,,,,,,"hair,lady","1 	 (Not confident)",,,"hair,lady",4,,,,,"lady,birthday",3,,
,,,,,,"legs,artist",2,"legs,artist",3,"birthday,death",2,"birthday,death",2,,,,,,,"wedding,hair",4,,,,,"hair,country",3,,,"wedding,dog",4,,,,,,,"performance,girl",4,,,,,,,,,,,,,"night,god","1 	 (Not confident)","girl,morning",4,,,"feelings,relationship",2,,,,,,,"dog,lady",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"food,beauty",3,"heart,beer",3,,,,,,,"beauty,performance",2,,,"performance,god",3,,,"dog,country",3,,,,,,,"hair,lady",4,"business,feelings",3,"beauty,lady","1 	 (Not confident)",,,,
,,,,"birthday,performance",4,,,,,,,,,"business,wedding",4,,,"performance,beer",3,,,,,,,,,,,,,,,,,,,,,,,,,"morning,girl","2,4",,,,,,,,,"girl,morning",4,"birthday,relationship",3,"feelings,birthday",4,"beauty,heart",3,,,,,,,,,"dog,feelings",4,"phone,dog",3,,,,,,,"artist,girl",3,,,"wedding,girl",4,,,,,,,"city,lady",4,,,,,,,,,,,,,,,,,,,"performance,god",4,,,,,"feelings,birthday",3,"wedding,lady",4,,,"hair,lady",4,"business,feelings",3,"beauty,lady",4,,,"lady,birthday",3
"phone,artist",4,,,,,,,,,,,,,,,"god,artist",4,"performance,birthday",3,,,"wedding,hair","5 	 (Highly confident)","money,dog","5 	 (Highly confident)",,,,,,,,,,,"performance,girl",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,feelings","5 	 (Highly confident)",,,"night,dog","5 	 (Highly confident)",,,"artist,girl","5 	 (Highly confident)",,,"wedding,girl","5 	 (Highly confident)",,,,,"dog,lady",3,"dog,lady","5 	 (Highly confident)",,,"lady,girl","5 	 (Highly confident)",,,,,,,,,"lady,hair",3,,,,,,,"beer,god",3,,,"feelings,performance","5 	 (Highly confident)","wedding,lady",3,"lady,beer",2,,,,,,,"lady,birthday","5 	 (Highly confident)","lady,birthday","5 	 (Highly confident)"
,,"gift,artist",2,,,"legs,artist","1 	 (Not confident)","legs,artist","1 	 (Not confident)",,,,,"money,business","5 	 (Highly confident)",,,"performance,birthday",2,,,,,,,"hair,text","1 	 (Not confident)","wedding,dog",3,,,,,"country,hair","1 	 (Not confident)",,,,,"dog,morning","1 	 (Not confident)",,,"morning,girl",3,,,,,,,,,,,"feelings,relationship","1 	 (Not confident)",,,"beauty,heart","1 	 (Not confident),2",,,,,,,"phone,artist","1 	 (Not confident)",,,"dog,feelings","1 	 (Not confident)",,,,,"artist,girl",3,,,,,"wedding,girl",2,,,,,,,"dog,lady",4,,,"lady,girl",4,"beauty,chocolate",2,,,,,,,,,"beauty,performance",2,,,,,,,,,,,,,,,,,,,,,,,,
"phone,artist","5 	 (Highly confident)","gift,artist","5 	 (Highly confident)",,,,,,,"birthday,ocean","5 	 (Highly confident)",,,,,,,,,,,"country,wedding","5 	 (Highly confident)","money,phone","5 	 (Highly confident)","hair,text","5 	 (Highly confident)",,,,,,,"country,hair","5 	 (Highly confident)",,,"performance,girl","5 	 (Highly confident)",,,,,,,,,,,"child,weight","5 	 (Highly confident)","night,god","5 	 (Highly confident)",,,,,,,,,"food,beauty","5 	 (Highly confident)",,,,,,,,,,,,,"apple,dog","5 	 (Highly confident)","artist,girl","5 	 (Highly confident)",,,,,,,,,,,,,"dog,lady","5 	 (Highly confident)","lady,girl","5 	 (Highly confident)","lady,girl","5 	 (Highly confident)",,,,,,,,,"lady,hair","5 	 (Highly confident)",,,,,,,"beer,god","5 	 (Highly confident)",,,"performance,birthday","5 	 (Highly confident)",,,,,,,"business,feelings","5 	 (Highly confident)",,,,,,
,,,,,,,,,,,,"birthday,ocean",4,"money,business","5 	 (Highly confident)","god,artist",3,"performance,birthday",4,,,,,,,,,,,,,"dog,country",4,,,"performance,girl",4,,,,,"area,hair",4,"morning,girl",4,"beer,wedding",3,"chocolate,business","1 	 (Not confident)",,,,,,,"feelings,relationship",3,,,,,,,"dog,lady",3,,,"phone,artist",3,,,,,,,,,,,,,,,,,,,"training,dog","5 	 (Highly confident)","dog,lady",2,,,,,,,,,,,,,"country,holiday",2,,,,,"lady,hair","5 	 (Highly confident)",,,,,,,,,,,"lady,hair","5 	 (Highly confident)",,,,,"lady,training",3,,,"lady,birthday",3
,,,,,,,,,,"birthday,death",2,"birthday,death",4,,,"death,artist",3,,,,,,,,,,,,,"wedding,dog",3,,,,,"performance,girl",4,"performance,girl",3,,,,,"morning,girl",3,"beer,wedding","1 	 (Not confident)",,,,,,,,,,,,,,,,,,,"dog,lady",4,,,"dog,feelings",2,,,"birthday,weight","1 	 (Not confident)",,,,,"artist,girl",4,"hair,country",4,,,"wedding,girl","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,"lady,hair",4,"performance,god","1 	 (Not confident)",,,,,,,"hair,lady",4,,,"hair,lady",4,,,,,"lady,birthday",2,"lady,birthday",3
,,"artist,city",3,"birthday,performance","5 	 (Highly confident)",,,,,,,,,"money,business",4,,,,,,,,,,,,,,,,,,,,,,,,,,,"area,hair",2,,,"wedding,area",2,"business,beauty",2,"child,beauty",3,,,,,,,,,,,"food,beauty",4,"dog,lady",4,,,"morning,artist",2,"dog,feelings",3,,,"birthday,area",2,,,"artist,girl",4,,,"hair,country","5 	 (Highly confident)",,,"wedding,girl",4,"dog,lady","5 	 (Highly confident)",,,,,"lady,girl","5 	 (Highly confident)",,,,,,,"hair,lady","5 	 (Highly confident)","god,country",3,,,,,"lady,hair",2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"birthday,ocean",4,,,"death,artist",3,,,,,"wedding,hair",4,,,,,,,"wedding,dog",4,,,"country,hair","5 	 (Highly confident)","performance,girl",3,,,,,,,,,"wedding,area",3,"chocolate,business",3,,,,,,,"feelings,relationship",4,,,,,,,,,,,,,,,"dog,feelings",3,,,,,,,"artist,girl",3,"hair,country",4,"wedding,girl",4,,,,,,,"dog,lady",4,,,,,,,,,"hair,lady",4,,,,,,,,,"baby,performance",3,,,"dog,country",3,"feelings,performance",3,,,"lady,hair",3,,,,,,,"lady,birthday",4,,
,,,,"birthday,performance",3,,,,,,,,,"money,wedding",4,"god,artist",3,,,,,,,,,,,,,"wedding,dog",2,"dog,country",3,"country,hair",3,,,"performance,girl",4,,,,,"history,girl",3,,,"business,beauty",2,,,,,"girl,morning",3,,,,,,,,,,,,,,,,,,,,,,,"artist,girl",3,"artist,girl",3,,,,,"wedding,girl",4,,,"dog,lady",3,,,,,"lady,girl",4,"food,beauty",3,,,,,,,,,,,"lady,hair",2,,,,,,,,,"hair,lady",3,"lady,beer",3,,,,,,,,,"lady,birthday",3
,,"gift,artist","5 	 (Highly confident)",,,,,"artist,city","5 	 (Highly confident)",,,,,,,"god,artist",4,,,,,,,"money,dog","5 	 (Highly confident)",,,,,,,"dog,country",4,"country,hair","5 	 (Highly confident)",,,,,,,"area,hair",2,"morning,girl",3,,,,,,,"morning,night","1 	 (Not confident)","girl,morning",2,,,,,"food,beauty",4,,,,,,,"morning,artist",3,,,,,,,,,,,,,,,,,"wedding,girl","5 	 (Highly confident)",,,,,"city,dog",3,"lady,girl",4,,,,,,,,,"god,country",3,"lady,hair","1 	 (Not confident)",,,,,"performance,god",3,,,,,,,,,,,,,"business,feelings",3,"beauty,lady","3,5 	 (Highly confident)",,,,
,,"gift,artist",3,,,"legs,artist",2,"legs,artist",2,,,"birthday,ocean",2,,,"god,artist","1 	 (Not confident)",,,,,"wedding,hair",2,"money,phone",2,,,"wedding,dog",2,"wedding,dog",2,,,,,,,,,"dog,morning","1 	 (Not confident),2",,,"morning,girl",2,,,,,"child,beauty",2,,,,,,,"feelings,relationship","1 	 (Not confident)",,,,,,,,,,,,,,,,,"night,dog",2,,,,,,,,,,,,,,,,,,,,,,,,,"hair,lady",3,,,,,"beauty,performance","1 	 (Not confident)",,,"performance,god","1 	 (Not confident)",,,,,,,"hair,lady",2,"lady,beer","1 	 (Not confident)","chocolate,lady",2,,,,,,,,
,,"gift,artist",4,,,,,,,"birthday,ocean",3,,,,,"god,artist",4,"performance,birthday","5 	 (Highly confident)",,,,,,,"hair,text","5 	 (Highly confident)",,,,,,,,,,,"performance,girl",3,"dog,morning",4,"area,hair",4,,,"beer,wedding",2,"business,beauty","5 	 (Highly confident)",,,,,"girl,morning",3,,,,,,,,,,,"dog,lady","5 	 (Highly confident)",,,,,,,,,"night,dog",3,,,,,,,"wedding,girl","5 	 (Highly confident)",,,,,,,,,"lady,girl","5 	 (Highly confident)",,,"beauty,chocolate",3,,,,,"god,country",4,,,,,,,"performance,god",4,,,,,,,,,"lady,hair",4,,,,,"beauty,lady",4,,,,
"phone,artist",3,,,,,"artist,city",4,,,,,,,"money,business",4,,,,,,,,,,,"hair,country",4,,,"wedding,dog",4,,,,,"performance,girl",4,"performance,girl",4,,,,,,,,,"chocolate,business",2,,,,,,,,,"feelings,relationship",4,,,"food,beauty",4,"dog,lady","5 	 (Highly confident)","dog,lady",4,,,,,,,"birthday,area","1 	 (Not confident)","night,dog","1 	 (Not confident)","artist,girl",4,"artist,girl",4,,,"wedding,girl",4,,,,,"dog,lady",4,,,,,,,,,,,"hair,lady",4,,,,,,,"lady,hair",4,,,,,,,,,,,,,,,,,,,,,,
,,"artist,city","5 	 (Highly confident)","birthday,performance",4,,,,,,,,,,,"death,artist",3,,,"country,hair","3,4",,,,,,,"wedding,dog",4,,,"dog,country",3,"country,hair","4,5 	 (Highly confident)","performance,girl",4,,,,,,,,,,,,,"child,beauty","5 	 (Highly confident)",,,,,,,,,"beauty,heart",3,,,"dog,lady",4,,,"morning,artist",3,"dog,feelings",4,"dog,feelings",4,"weight,area",4,,,,,,,,,,,"history,girl","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,"lady,hair",4,,,,,,,"performance,god",4,,,"performance,birthday",4,,,,,,,"business,feelings",3,,,,,,
"phone,artist",4,,,,,"artist,city",4,,,,,,,"business,wedding",3,,,,,,,,,,,,,,,"wedding,dog","5 	 (Highly confident)","dog,country",3,"country,hair","5 	 (Highly confident)",,,"performance,girl","5 	 (Highly confident)",,,,,"morning,girl",4,"beer,wedding",4,,,,,"morning,god","5 	 (Highly confident)",,,"feelings,relationship",3,"feelings,relationship",4,,,,,,,,,"morning,artist",3,,,,,,,,,"artist,girl","5 	 (Highly confident)",,,,,,,,,"training,dog",4,,,,,,,,,,,"beauty,beer",4,,,,,"lady,hair","5 	 (Highly confident)",,,"lady,birthday",3,,,,,,,,,,,"lady,beer","5 	 (Highly confident)",,,,,"beauty,lady",4,,,,
"night,artist",4,,,"birthday,performance",3,,,,,,,,,,,,,,,"wedding,hair",2,"country,hair","1 	 (Not confident)","money,dog","1 	 (Not confident)",,,,,,,,,"country,hair",4,,,,,,,,,"history,girl",2,"beer,area",4,,,,,,,,,"feelings,relationship",2,,,,,,,,,,,,,,,,,"birthday,area","5 	 (Highly confident)",,,,,"artist,girl",3,,,,,,,,,"training,dog",3,,,,,,,,,"heart,beauty","5 	 (Highly confident)","area,hair",2,,,,,,,,,"performance,god",3,"beer,god",4,,,"feelings,performance",2,"hair,lady",4,,,"chocolate,lady",3,"business,wedding",3,,,,,,
,,,,,,,,,,"ocean,death",4,"ocean,death",2,,,,,,,,,"wedding,hair","5 	 (Highly confident)",,,"hair,text","3,4","country,wedding",2,,,,,,,"performance,girl",2,,,,,,,,,,,,,"child,beauty",4,,,,,,,,,"beauty,heart",3,"heart,beauty",2,"legs,lady",2,,,,,,,,,,,,,,,,,,,"wedding,history",2,"wedding,girl",4,,,"training,dog",3,"dog,lady",4,,,"girl,area",4,,,,,,,,,,,,,,,,,"beer,performance","3,4",,,"feelings,performance",2,,,,,,,"feelings,wedding","1 	 (Not confident)",,,"lady,birthday",4,"lady,birthday",4
,,,,"birthday,performance",3,,,"legs,artist","1 	 (Not confident)",,,,,,,,,"performance,birthday","1 	 (Not confident)","wedding,hair",3,,,"money,phone","1 	 (Not confident)",,,,,,,,,,,,,,,,,,,,,,,"chocolate,business","1 	 (Not confident)",,,,,,,,,,,,,,,,,,,,,"phone,dog","1 	 (Not confident)","dog,feelings","1 	 (Not confident)","birthday,area","1 	 (Not confident)","night,dog","1 	 (Not confident)",,,"artist,girl",3,"hair,country",3,,,,,,,,,,,"lady,girl",3,,,"food,beauty",2,,,"hair,lady",3,"god,country","1 	 (Not confident)",,,"beauty,performance",3,,,,,,,"dog,night","1 	 (Not confident)",,,"hair,lady","1 	 (Not confident)",,,"chocolate,lady",2,,,,,,,,
,,,,,,,,,,"birthday,ocean",4,"birthday,ocean",3,,,,,,,,,"wedding,hair","5 	 (Highly confident)","money,dog","5 	 (Highly confident)",,,,,,,"dog,country",4,,,,,,,,,"area,hair",3,,,,,"chocolate,beauty",3,"child,beauty",2,"morning,night",3,,,,,,,,,,,"dog,lady","5 	 (Highly confident)",,,,,"dog,feelings","5 	 (Highly confident)",,,"birthday,area",4,,,"artist,girl","5 	 (Highly confident)",,,,,"wedding,girl","5 	 (Highly confident)",,,,,"training,lady",4,,,,,,,,,,,,,"god,holiday",4,"lady,hair",2,,,"lady,birthday",3,,,,,,,,,,,,,"hair,lady",4,,,,,,,"lady,birthday","5 	 (Highly confident)"
,,"artist,city",3,"performance,security","1 	 (Not confident)",,,,,,,,,"business,wedding","1 	 (Not confident)",,,,,"country,hair",4,,,,,,,,,"country,wedding","1 	 (Not confident)",,,"beer,hair",3,,,"performance,girl",4,,,,,,,"beer,wedding","1 	 (Not confident)",,,,,,,"girl,apple",3,,,"feelings,relationship",4,"food,beauty","1 	 (Not confident)",,,,,"dog,feelings",2,,,,,,,,,,,,,,,,,,,,,,,,,,,"girl,area","1 	 (Not confident)",,,"food,beauty",3,"heart,beauty",3,"area,hair","1 	 (Not confident)",,,,,"beauty,performance",3,,,,,,,"dog,country",4,,,,,,,,,"business,wedding","1 	 (Not confident)","lady,training",3,,,,
,,,,,,"legs,artist",4,"legs,artist",4,,,,,,,"god,artist",4,,,,,"country,hair",3,"money,phone",3,"hair,country",4,"wedding,dog",3,,,"dog,ocean",3,,,,,,,"dog,morning","1 	 (Not confident)","area,hair",3,"morning,girl",4,,,,,,,"morning,god",2,,,,,,,,,"food,beauty",3,,,"dog,lady",4,"morning,artist",2,,,"dog,feelings","5 	 (Highly confident)",,,,,,,,,,,,,,,,,"training,dog",4,,,"lady,girl",4,"lady,girl","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,"feelings,performance",4,,,,,,,,,,,,,,
"phone,artist",4,,,"birthday,performance","5 	 (Highly confident)","artist,city",4,,,,,"birthday,ocean",4,"money,business","5 	 (Highly confident)","god,artist","5 	 (Highly confident)","performance,birthday",4,,,,,,,,,,,,,,,,,,,,,,,,,"morning,girl","1 	 (Not confident)",,,,,,,,,"girl,morning",4,,,"feelings,birthday","1 	 (Not confident)",,,"heart,beauty",3,,,,,"morning,artist",4,,,"dog,feelings",4,,,,,,,,,,,"wedding,girl","5 	 (Highly confident)","wedding,girl","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,"lady,birthday",2,,,,,"dog,country",3,,,"wedding,lady",3,,,,,,,,,"lady,birthday","5 	 (Highly confident)","lady,birthday",4
,,"gift,artist","1 	 (Not confident)",,,,,,,,,,,,,,,,,,,,,,,,,"wedding,dog","5 	 (Highly confident)",,,,,,,"performance,girl","5 	 (Highly confident)","performance,girl","5 	 (Highly confident)",,,,,,,,,"chocolate,beauty",2,,,,,,,"feelings,relationship",4,,,"beauty,heart","2,5 	 (Highly confident)",,,,,,,,,,,,,"birthday,area",3,"night,dog","1 	 (Not confident)","artist,girl","5 	 (Highly confident)","artist,girl","5 	 (Highly confident)",,,,,,,"dog,lady","5 	 (Highly confident)",,,"dog,lady","5 	 (Highly confident)",,,,,,,"heart,beauty",3,"hair,lady","5 	 (Highly confident)",,,,,"beauty,performance","1 	 (Not confident)",,,,,"beer,performance","1 	 (Not confident)",,,,,,,"lady,hair","1 	 (Not confident)",,,"business,feelings","1 	 (Not confident)","beauty,lady","5 	 (Highly confident)",,,,
,,,,,,"legs,artist","5 	 (Highly confident)",,,,,,,"money,business","5 	 (Highly confident)","god,artist",4,,,,,,,"money,phone",4,,,,,"wedding,dog","4,5 	 (Highly confident)",,,"country,hair","5 	 (Highly confident)",,,,,,,,,,,,,,,,,"night,god",3,,,,,"feelings,relationship","5 	 (Highly confident)",,,,,,,,,,,"dog,feelings","5 	 (Highly confident)","dog,feelings","5 	 (Highly confident)",,,,,,,,,"hair,country","5 	 (Highly confident)",,,"wedding,girl","5 	 (Highly confident)",,,,,,,,,"lady,girl","5 	 (Highly confident)","beauty,chocolate",4,,,"hair,lady","5 	 (Highly confident)",,,,,,,,,"performance,god","5 	 (Highly confident)",,,"dog,country","5 	 (Highly confident)","performance,birthday","5 	 (Highly confident)",,,,,,,"business,feelings",4,,,"lady,birthday","5 	 (Highly confident)",,
"phone,artist",3,,,,,,,,,,,"ocean,death",4,,,,,,,"country,hair",3,,,,,"hair,text",3,"country,wedding","5 	 (Highly confident)",,,,,,,,,,,"dog,morning",4,"area,hair",4,"morning,girl",3,"wedding,area",3,"business,beauty",3,"child,weight",3,,,"girl,apple","2,3",,,,,,,,,,,,,"phone,artist",3,,,,,"birthday,weight",3,,,,,,,,,,,,,,,,,,,"lady,area",3,,,,,"heart,beauty",3,,,"god,country",4,"lady,hair","5 	 (Highly confident)",,,,,,,"performance,god","5 	 (Highly confident)",,,,,"wedding,lady","5 	 (Highly confident)",,,,,,,,,,,,
,,"gift,artist",2,,,,,,,,,,,"money,business",2,,,,,,,"country,hair","1 	 (Not confident)","money,dog",2,,,,,"country,dog",2,"dog,country",2,"country,beer",2,,,,,"dog,morning",2,"chocolate,hair",2,,,,,,,,,,,"girl,morning","1 	 (Not confident)",,,"feelings,relationship",2,,,,,,,,,,,,,,,,,"night,dog",2,,,,,,,"wedding,girl",2,,,,,"dog,lady",2,"city,lady",2,,,,,,,"heart,beer",3,,,,,,,"beauty,performance",4,"lady,hair",2,,,,,,,,,,,,,,,,,"lady,training","1 	 (Not confident)",,,"lady,birthday",2
,,,,,,,,,,,,"birthday,ocean",2,,,,,,,,,,,"money,dog","5 	 (Highly confident)",,,,,,,"dog,country",4,,,"performance,girl","1 	 (Not confident)",,,,,,,,,"beer,wedding","5 	 (Highly confident)",,,,,"morning,god",2,,,"feelings,relationship","5 	 (Highly confident)",,,,,,,,,,,"phone,artist",2,,,,,,,,,,,"artist,girl",4,,,,,,,"dog,lady","5 	 (Highly confident)","dog,lady",3,,,"lady,girl","5 	 (Highly confident)",,,"beauty,chocolate","5 	 (Highly confident)",,,,,,,,,,,"lady,hair","5 	 (Highly confident)",,,"performance,god",2,,,"feelings,performance","5 	 (Highly confident)","hair,lady",4,,,"hair,lady",4,,,,,"lady,birthday",3,"lady,birthday","5 	 (Highly confident)"
,,,,"birthday,performance","5 	 (Highly confident)",,,"legs,artist",4,"birthday,ocean",4,,,,,,,"performance,birthday",3,,,"wedding,hair",4,,,,,,,,,"dog,country",2,,,,,,,,,,,,,,,,,,,,,,,,,,,"beauty,heart",3,"heart,beauty",4,"dog,legs",4,"dog,lady",4,,,,,,,,,,,"artist,girl",4,"artist,girl","5 	 (Highly confident)",,,"wedding,girl",4,,,"training,dog",4,"training,dog",4,"dog,lady",4,,,,,,,,,,,,,,,"beauty,performance","3,4",,,,,,,,,,,,,"lady,beer",4,"chocolate,lady",2,,,"beauty,lady","5 	 (Highly confident)",,,,
,,,,"birthday,performance",4,,,,,,,,,,,"god,artist",3,,,"wedding,hair","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,"morning,girl",3,,,,,"child,beauty",3,"morning,god","1 	 (Not confident)",,,,,,,,,,,,,"dog,lady","5 	 (Highly confident)","phone,artist","1 	 (Not confident)",,,"dog,feelings","1 	 (Not confident)",,,,,,,"artist,girl","5 	 (Highly confident)","hair,country","5 	 (Highly confident)","wedding,girl","5 	 (Highly confident)",,,"dog,lady","5 	 (Highly confident)",,,,,,,,,,,,,,,,,,,,,,,,,,,"dog,country","5 	 (Highly confident)","feelings,performance","1 	 (Not confident)","hair,lady","5 	 (Highly confident)","lady,hair","5 	 (Highly confident)","hair,lady","5 	 (Highly confident)",,,"beauty,lady",3,"lady,birthday",3,,
,,,,,,,,,,,,"birthday,ocean",3,,,,,,,,,"wedding,hair",4,,,,,"wedding,dog",3,,,,,"country,hair",4,"performance,girl",4,"performance,girl",4,,,"chocolate,hair",2,,,,,,,,,,,,,"feelings,relationship",4,,,"beauty,heart",2,,,"dog,lady",4,,,,,"phone,feelings",3,,,,,,,"history,girl",4,,,,,,,,,,,,,,,,,,,"beauty,chocolate",3,"heart,beer",4,"hair,lady",4,"god,holiday","1 	 (Not confident)","hair,money",3,,,,,"performance,god",4,"performance,god",4,,,,,,,,,,,"business,feelings",3,,,,,,
,,,,"birthday,performance",4,"legs,artist",4,,,,,,,,,,,,,,,,,,,"hair,text",4,"wedding,dog",4,"wedding,dog",4,,,,,"performance,girl",4,,,,,"area,chocolate",3,,,"beer,area",4,,,,,,,,,,,,,,,"food,beauty",4,"legs,lady",3,"dog,lady",4,,,,,"dog,feelings",4,"birthday,weight","2,3",,,,,,,,,,,,,"training,dog",4,"training,dog",4,,,,,"lady,girl",4,,,,,"hair,lady",4,,,,,,,,,,,,,"dog,country",2,,,,,,,,,"business,feelings",4,,,,,"lady,birthday",4
"phone,artist",3,"artist,city",3,,,"artist,city",3,"artist,city",3,"birthday,ocean",4,,,,,,,"performance,birthday",3,,,,,,,"hair,country",3,,,,,,,,,,,,,,,,,,,"beer,wedding",2,"business,beauty",2,,,,,"girl,morning",4,"feelings,relationship",4,"feelings,birthday",3,,,"heart,beauty",4,,,,,,,,,,,"birthday,weight","1 	 (Not confident)","night,dog",4,,,,,,,,,"history,girl",4,,,,,,,"girl,area",4,"girl,area",4,,,,,,,,,"lady,hair",4,"beauty,performance",2,,,,,,,,,,,,,,,,,,,,,,,,
,,"gift,artist",4,,,,,,,"birthday,ocean",4,,,,,"god,artist",4,,,,,"wedding,hair",4,,,,,,,,,"dog,country",4,,,,,"performance,girl","5 	 (Highly confident)",,,,,"morning,girl",4,,,,,,,"morning,god",4,"girl,morning",4,,,,,,,,,,,,,"phone,artist",3,"dog,feelings",3,,,,,,,,,,,,,,,,,,,,,"dog,lady","5 	 (Highly confident)","lady,girl","5 	 (Highly confident)",,,"beauty,chocolate",4,"heart,beer",3,,,"god,country",4,,,,,"lady,hair",4,,,,,,,"feelings,performance",2,,,"lady,hair",4,,,,,,,"lady,birthday",4,,
