QID13,QID14,QID16,QID17,QID19,QID20,QID22,QID23,QID25,QID26,QID28,QID29,QID31,QID32,QID34,QID35,QID37,QID38,QID40,QID41,QID43,QID44,QID46,QID47,QID49,QID50,QID52,QID53,QID55,QID56,QID58,QID59,QID61,QID62,QID64,QID65,QID67,QID68,QID70,QID71,QID73,QID74,QID76,QID77,QID79,QID80,QID82,QID83,QID85,QID86,QID88,QID89,QID91,QID92,QID94,QID95,QID97,QID98,QID100,QID101,QID103,QID104,QID106,QID107,QID109,QID110,QID112,QID113,QID115,QID116,QID118,QID119,QID121,QID122,QID124,QID125,QID127,QID128,QID130,QID131,QID133,QID134,QID136,QID137,QID139,QID140,QID142,QID143,QID145,QID146,QID148,QID149,QID151,QID152,QID154,QID155,QID157,QID158,QID160,QID161,QID163,QID164,QID166,QID167,QID169,QID170,QID172,QID173,QID175,QID176,QID178,QID179,QID181,QID182,QID184,QID185
faithful,4,wicked,2,,,,,,,inspirational,4,ancient,2,loud,3,,,,,proud,3,,,,,gorgeous,2,,,proud,3,,,gorgeous,3,peaceful,2,,,,,,,jealous,3,,,,,fresh,2,,,,,,,,,,,,,,,,,,,,,,,,,,,strong,3,inspirational,3,faithful,3,,,,,,,excited,4,,,divine,4,,,,,,,,,,,,,dirty,4,hilarious,3,cute,3,,
faithful,1   (Not confident),,,excited,2,,,,,inspirational,2,,,,,comfortable,1   (Not confident),,,proud,1   (Not confident),,,gorgeous,3,clever,1   (Not confident),,,,,,,,,,,dirty,1   (Not confident),,,,,,,,,,,,,,,talented,1   (Not confident),smooth,1   (Not confident),,,,,,,,,wicked,1   (Not confident),,,,,faithful,3,,,,,,,,,faithful,2,clean,1   (Not confident),,,clever,3,,,clear,1   (Not confident),,,cute,2,,,,,,,,,faithful,2,dumb,1   (Not confident),,,,,cute,1   (Not confident)
,,,,excited,3,,,talented,3,,,,,wicked,3,,,,,,,smooth,3,gorgeous,3,safe,3,successful,3,,,,,gorgeous,3,,,,,talented,3,clever,3,,,,,,,,,,,talented,3,,,,,,,,,,,wicked,3,,,gorgeous,3,,,rough,3,wild,3,,,,,,,excited,3,,,,,,,,,,,cute,3,,,,,adorable,3,cute,3,,,,,,,,,cute,"2,3"
,,,,,,,,,,,,cute,4,loud,4,,,,,,,,,,,,,successful,4,proud,3,,,gorgeous,3,,,,,,,,,dry,3,,,,,,,successful,3,talented,4,,,,,,,wet,3,stunning,3,,,,,gorgeous,4,,,,,,,strong,4,,,faithful,4,,,inspirational,3,clever,3,,,,,hilarious,3,cute,2,strong,3,talented,3,strong,2,,,,,,,,,,,,
,,,,,,,,,,adorable,3,,,,,adorable,4,,,,,inspirational,3,,,,,successful,3,lonely,3,talented,3,,,golden,4,stunning,4,,,,,,,,,cute,3,fresh,4,,,talented,3,peaceful,4,,,,,,,rough,3,,,,,,,,,fresh,2,,,peaceful,3,,,,,,,,,,,,,,,divine,3,cute,3,,,,,,,,,faithful,3,inspirational,3,,,,,cute,4
,,,,,,,,,,,,,,loud,5   (Highly confident),,,,,,,inspirational,5   (Highly confident),,,clever,5   (Highly confident),,,,,talented,5   (Highly confident),,,,,,,talented,5   (Highly confident),clever,5   (Highly confident),,,,,,,,,,,funny,5   (Highly confident),,,difficult,5   (Highly confident),,,wet,5   (Highly confident),,,,,ancient,5   (Highly confident),,,faithful,5   (Highly confident),,,,,,,,,faithful,5   (Highly confident),,,inspirational,5   (Highly confident),clever,5   (Highly confident),excited,5   (Highly confident),inspirational,5   (Highly confident),divine,5   (Highly confident),,,,,,,,,cute,5   (Highly confident),,,,,,,safe,5   (Highly confident),cute,5   (Highly confident)
,,gorgeous,"3,4",,,,,,,,,,,,,adorable,3,excited,4,,,,,,,,,,,,,shy,3,,,,,,,,,,,dry,4,hungry,2,,,,,,,,,,,,,,,safe,4,,,cute,3,ancient,2,,,faithful,2,,,,,peaceful,4,,,,,,,inspirational,4,,,excited,3,inspirational,4,,,cute,3,strong,4,talented,3,,,,,healthy,4,,,dry,4,,,cute,4
faithful,2,,,excited,3,excited,2,,,,,ancient,2,loud,2,,,,,,,,,,,,,sleepy,2,proud,3,,,,,,,stunning,1   (Not confident),,,,,,,,,,,,,,,,,smooth,2,,,,,weird,2,stunning,3,,,confused,2,,,,,,,,,,,,,,,excited,3,,,clever,3,,,,,divine,3,cute,3,,,,,adorable,2,cute,2,,,dirty,3,,,,,cute,2
,,,,,,,,,,inspirational,3,,,loud,4,,,,,,,,,gorgeous,1   (Not confident),,,,,proud,1   (Not confident),talented,1   (Not confident),,,sleepy,1   (Not confident),,,talented,1   (Not confident),,,jealous,2,,,confused,1   (Not confident),,,,,,,,,poor,1   (Not confident),,,,,,,lazy,1   (Not confident),,,,,faithful,2,,,,,,,inspirational,1   (Not confident),faithful,3,,,,,,,,,creepy,2,,,,,,,,,adorable,2,cute,1   (Not confident),faithful,3,,,,,safe,1   (Not confident),hilarious,1   (Not confident)
,,,,,,excited,3,talented,5   (Highly confident),,,,,,,adorable,3,,,,,,,,,clever,2,successful,3,,,,,gorgeous,3,,,,,sick,3,clever,3,,,,,cute,3,,,successful,3,,,,,,,,,weird,3,,,,,ancient,3,,,,,fresh,3,inspirational,3,,,inspirational,3,,,,,inspirational,3,,,,,,,divine,3,,,,,talented,3,,,cute,3,,,inspirational,"2,3",,,,,,
,,wicked,2,excited,3,,,,,inspirational,4,,,,,adorable,4,,,,,inspirational,4,gorgeous,3,stupid,2,,,,,,,,,,,,,talented,2,,,,,hungry,4,shy,3,,,,,,,,,,,fat,3,,,,,,,,,innocent,3,faithful,4,,,,,,,inspirational,4,,,,,funny,4,,,,,,,divine,5   (Highly confident),cute,2,faithful,3,talented,3,,,,,,,,,,,,,cute,3
,,,,excited,2,,,talented,4,inspirational,1   (Not confident),tired,2,loud,4,,,hungry,1   (Not confident),,,,,,,,,successful,1   (Not confident),,,,,gorgeous,1   (Not confident),peaceful,3,,,,,,,hilarious,1   (Not confident),,,,,lonely,1   (Not confident),,,,,,,,,,,,,,,,,,,,,,,,,,,strong,1   (Not confident),,,,,,,inspirational,2,clever,3,excited,2,,,divine,2,cute,1   (Not confident),,,,,,,cute,2,,,dirty,1   (Not confident),,,cute,1   (Not confident),,
faithful,3,,,,,,,,,,,,,,,adorable,5   (Highly confident),hungry,3,proud,5   (Highly confident),inspirational,5   (Highly confident),,,gorgeous,3,,,,,talented,4,gorgeous,4,peaceful,5   (Highly confident),stunning,5   (Highly confident),talented,4,cute,5   (Highly confident),,,,,,,fresh,4,,,,,,,,,,,,,,,,,,,,,faithful,4,,,,,,,inspirational,5   (Highly confident),faithful,3,,,,,,,,,,,divine,4,,,,,talented,3,successful,3,,,,,,,,,strong,3,,
,,safe,1   (Not confident),,,excited,1   (Not confident),talented,4,inspirational,5   (Highly confident),,,,,,,,,proud,3,,,,,,,,,proud,5   (Highly confident),,,,,peaceful,4,dirty,1   (Not confident),,,cute,5   (Highly confident),,,,,cute,1   (Not confident),,,successful,"1   (Not confident),2,3",talented,3,peaceful,"1   (Not confident),3",,,,,wet,1   (Not confident),,,,,,,,,,,,,,,peaceful,3,inspirational,5   (Highly confident),expensive,"2,3",,,,,,,excited,5   (Highly confident),,,,,,,,,,,,,,,healthy,1   (Not confident),inspirational,1   (Not confident),,,,,,
faithful,2,,,,,,,,,,,,,,,,,hungry,1   (Not confident),,,,,gorgeous,2,,,,,proud,1   (Not confident),,,sexy,2,clever,2,dirty,2,talented,1   (Not confident),,,,,hungry,1   (Not confident),cute,2,,,,,,,,,,,hungry,2,wet,2,,,,,ancient,1   (Not confident),,,,,,,,,,,,,faithful,2,,,,,pretty,2,,,inspirational,1   (Not confident),divine,2,,,,,,,,,,,,,dirty,2,lonely,1   (Not confident),cute,2,,
,,,,excited,4,,,,,,,,,loud,5   (Highly confident),comfortable,4,,,proud,4,,,,,,,,,,,talented,1   (Not confident),,,,,,,,,clever,4,,,hungry,3,shy,2,,,,,,,smooth,5   (Highly confident),,,safe,3,weird,3,,,wicked,2,,,gorgeous,4,faithful,4,,,,,,,inspirational,5   (Highly confident),faithful,4,,,,,clever,4,,,,,,,,,,,,,,,,,,,dirty,3,,,cute,2,hilarious,2
,,,,,,,,,,inspirational,3,,,,,,,hungry,1   (Not confident),proud,3,,,gorgeous,4,,,successful,1   (Not confident),,,,,,,,,,,,,cute,2,dry,3,,,,,,,shy,2,,,,,,,,,,,,,,,ancient,1   (Not confident),,,faithful,2,rough,1   (Not confident),inspirational,3,,,,,,,,,inspirational,2,clever,3,excited,2,inspirational,2,,,cute,3,,,,,,,,,faithful,3,dirty,1   (Not confident),,,,,cute,2
faithful,3,lost,4,,,,,,,,,cute,3,ancient,4,,,,,,,inspirational,4,gorgeous,4,,,,,,,,,,,peaceful,4,,,,,,,,,,,,,,,successful,4,,,sick,3,,,,,weird,4,,,,,,,gorgeous,4,,,adorable,4,,,,,funny,4,hilarious,4,,,,,,,,,,,,,cute,4,,,talented,4,successful,4,cute,4,,,dirty,3,,,cute,4,,
,,,,,,excited,2,,,inspirational,5   (Highly confident),,,,,adorable,2,hungry,"4,5   (Highly confident)",proud,4,,,gorgeous,4,,,,,,,illegal,"3,4",,,peaceful,2,,,,,cute,4,,,hungry,3,,,dying,2,,,,,,,,,fat,4,wet,2,,,,,,,,,,,fresh,2,,,strong,3,,,,,,,,,,,,,creepy,5   (Highly confident),,,,,,,talented,3,adorable,2,cute,4,,,,,,,,,cute,1   (Not confident)
nasty,4,lost,2,,,hilarious,3,,,,,tired,3,ancient,3,,,,,sleepy,3,inspirational,4,,,,,,,lonely,3,bloody,3,sexy,3,,,dirty,2,,,,,,,violent,3,,,,,successful,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excited,2,illegal,3,,,lovely,3,dry,3,,,,,violent,3,ugly,4,,,,,,,,,,,safe,3,,
,,,,,,excited,4,,,inspirational,4,,,christian,1   (Not confident),comfortable,3,hungry,3,,,,,gorgeous,4,,,,,proud,4,,,,,,,,,,,,,,,,,cute,3,proud,2,successful,4,funny,1   (Not confident),,,,,hungry,2,,,,,cute,2,,,,,,,adorable,4,,,,,,,,,clean,"2,3",funny,1   (Not confident),clever,3,excited,3,,,,,,,,,,,,,,,,,dirty,3,hilarious,1   (Not confident),,,,
faithful,5   (Highly confident),wicked,2,ancient,2,excited,3,,,,,,,,,,,hungry,1   (Not confident),proud,3,,,,,gorgeous,4,successful,1   (Not confident),,,,,,,peaceful,2,,,,,,,hilarious,1   (Not confident),,,,,lonely,2,,,talented,3,,,,,,,wet,3,,,,,ancient,"2,3",,,faithful,3,,,,,,,inspirational,5   (Highly confident),,,,,,,,,,,,,divine,5   (Highly confident),,,hilarious,1   (Not confident),talented,3,,,,,faithful,2,,,,,,,,
